system,system_label,selection_role,status,not_run_reason,overlap_family,threshold,total_gt_boxes,total_pred_boxes,predicted_hazards,no_box_hazards,no_box_rate,gt_coverage_recall,pred_to_gt_coverage,gt_to_pred_containment,category_aware_grounding_recall,category_aware_grounding_precision,box_label_grounding_f1,mean_iou,mean_iop_tightness
baseline_direct_qwen35_27b,Qwen 3.5 27B single-pass,Named comparison; Best single-pass by identification F1,COMPUTED,,iog,0.3000,247,219,323,104,0.3220,0.4696,0.3744,0.6484,0.2065,0.2329,0.2189,0.5007,0.6824
baseline_direct_qwen35_27b,Qwen 3.5 27B single-pass,Named comparison; Best single-pass by identification F1,COMPUTED,,iog,0.4000,247,219,323,104,0.3220,0.4170,0.3333,0.5982,0.1822,0.2055,0.1931,0.5286,0.6937
baseline_direct_qwen35_27b,Qwen 3.5 27B single-pass,Named comparison; Best single-pass by identification F1,COMPUTED,,iog,0.5000,247,219,323,104,0.3220,0.3563,0.2831,0.5890,0.1579,0.1781,0.1674,0.5587,0.6852
baseline_direct_qwen35_27b,Qwen 3.5 27B single-pass,Named comparison; Best single-pass by identification F1,COMPUTED,,iog,0.6000,247,219,323,104,0.3220,0.3198,0.2420,0.5434,0.1417,0.1598,0.1502,0.5788,0.6752
baseline_direct_qwen35_27b,Qwen 3.5 27B single-pass,Named comparison; Best single-pass by identification F1,COMPUTED,,iog,0.7000,247,219,323,104,0.3220,0.2672,0.2100,0.5068,0.1215,0.1370,0.1288,0.5976,0.6805
baseline_direct_qwen35_27b,Qwen 3.5 27B single-pass,Named comparison; Best single-pass by identification F1,COMPUTED,,iou,0.3000,247,219,323,104,0.3220,0.3522,0.3242,0.6484,0.1619,0.1826,0.1717,0.5908,0.8309
baseline_direct_qwen35_27b,Qwen 3.5 27B single-pass,Named comparison; Best single-pass by identification F1,COMPUTED,,iou,0.4000,247,219,323,104,0.3220,0.2672,0.2374,0.5982,0.1296,0.1461,0.1373,0.6786,0.9026
baseline_direct_qwen35_27b,Qwen 3.5 27B single-pass,Named comparison; Best single-pass by identification F1,COMPUTED,,iou,0.5000,247,219,323,104,0.3220,0.2267,0.2009,0.5890,0.1174,0.1324,0.1245,0.7236,0.9127
baseline_direct_qwen35_27b,Qwen 3.5 27B single-pass,Named comparison; Best single-pass by identification F1,COMPUTED,,iop,0.3000,247,219,323,104,0.3220,0.5628,0.6484,0.6484,0.2834,0.3196,0.3004,0.3089,0.8579
baseline_direct_qwen35_27b,Qwen 3.5 27B single-pass,Named comparison; Best single-pass by identification F1,COMPUTED,,iop,0.5000,247,219,323,104,0.3220,0.4899,0.5890,0.5890,0.2429,0.2740,0.2575,0.3208,0.9076
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iog,0.1000,247,323,365,42,0.1151,0.7571,0.4954,0.5170,0.1255,0.0960,0.1088,0.4020,0.4279
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iog,0.2000,247,323,365,42,0.1151,0.7449,0.4861,0.4768,0.1215,0.0929,0.1053,0.4075,0.4215
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iog,0.3000,247,323,365,42,0.1151,0.7409,0.4799,0.4056,0.1215,0.0929,0.1053,0.4099,0.4194
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iog,0.4000,247,323,365,42,0.1151,0.7328,0.4768,0.3529,0.1174,0.0898,0.1018,0.4107,0.4176
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iog,0.5000,247,323,365,42,0.1151,0.7247,0.4737,0.2539,0.1174,0.0898,0.1018,0.4102,0.4138
