system,ground_iog_threshold,total_gt_boxes,total_pred_boxes,total_hazard_rows,no_box_hazard_rows,no_box_rate,gt_coverage_iog03,prediction_coverage_iog03,category_aware_grounding_success_iog03,category_aware_prediction_coverage_iog03,iou_at_0_3,iou_at_0_5,tightness_mean_iop,mean_iou_covering,gt_to_prediction_containment_iop03,map_like_iou50_category_aware,gt_coverage_iog03_Fall_Hazard,support_gt_boxes_Fall_Hazard,low_support_Fall_Hazard,gt_coverage_iog03_StruckBy_Hazard,support_gt_boxes_StruckBy_Hazard,low_support_StruckBy_Hazard,gt_coverage_iog03_Electrocution_Hazard,support_gt_boxes_Electrocution_Hazard,low_support_Electrocution_Hazard,gt_coverage_iog03_CaughtInBetween_hazard,support_gt_boxes_CaughtInBetween_hazard,low_support_CaughtInBetween_hazard,gt_coverage_iog03_PPE_Violation,support_gt_boxes_PPE_Violation,low_support_PPE_Violation,gt_coverage_iog03_Housekeeping_Storage,support_gt_boxes_Housekeeping_Storage,low_support_Housekeeping_Storage,gt_coverage_iog03_Other,support_gt_boxes_Other,low_support_Other,gt_coverage_iog03_ci95_low,gt_coverage_iog03_ci95_high,prediction_coverage_iog03_ci95_low,prediction_coverage_iog03_ci95_high,category_aware_grounding_success_iog03_ci95_low,category_aware_grounding_success_iog03_ci95_high,iou_at_0_3_ci95_low,iou_at_0_3_ci95_high,iou_at_0_5_ci95_low,iou_at_0_5_ci95_high,mean_iou_covering_ci95_low,mean_iou_covering_ci95_high,gt_to_prediction_containment_iop03_ci95_low,gt_to_prediction_containment_iop03_ci95_high
baseline_direct_qwen36_35b,0.3000,247,341,549,208,0.3789,0.3968,0.2170,0.2024,0.1525,0.3198,0.1700,0.6789,0.4676,0.4194,0.0115,0.4921,63,0,0.3333,3,1,0.3750,24,0,0.5000,10,0,0.3778,45,0,0.3896,77,0,0.2000,25,0,0.3118,0.4856,0.1642,0.2722,0.1464,0.2583,0.2410,0.4008,0.1111,0.2328,0.4154,0.5266,0.3343,0.5000
baseline_direct_gemma3_12b,0.3000,247,268,272,4,0.0147,0.2105,0.1418,0.0891,0.0858,0.1336,0.0486,0.4974,0.3901,0.4515,0.0018,0.1905,63,0,0.0000,3,1,0.2083,24,0,0.4000,10,0,0.2667,45,0,0.1948,77,0,0.1600,25,0,0.1377,0.2906,0.0862,0.1992,0.0502,0.1306,0.0811,0.1948,0.0192,0.0818,0.2923,0.5000,0.3609,0.5402
baseline_direct_gemma3_4b,0.3000,247,149,159,10,0.0629,0.3522,0.3758,0.1053,0.1611,0.2227,0.0364,0.5565,0.3367,0.4966,0.0000,0.3968,63,0,0.3333,3,1,0.5417,24,0,0.4000,10,0,0.3778,45,0,0.2208,77,0,0.4000,25,0,0.2727,0.4272,0.2958,0.4527,0.0685,0.1491,0.1660,0.2773,0.0133,0.0599,0.2976,0.3751,0.4106,0.5745
baseline_direct_internvl3_5_8b,0.3000,247,333,532,199,0.3741,0.0081,0.0030,0.0040,0.0030,0.0081,0.0081,1.0000,0.6729,0.3814,0.0028,0.0159,63,0,0.0000,3,1,0.0000,24,0,0.0000,10,0,0.0000,45,0,0.0000,77,0,0.0400,25,0,0.0000,0.0270,0.0000,0.0100,0.0000,0.0135,0.0000,0.0270,0.0000,0.0270,0.0000,0.6729,0.2987,0.4578
baseline_direct_llama32_vision_11b,0.3000,247,11,14,3,0.2143,0.0729,0.5455,0.0162,0.3636,0.0486,0.0202,0.4721,0.4718,0.5455,0.0035,0.0159,63,0,0.3333,3,1,0.1667,24,0,0.1000,10,0,0.0444,45,0,0.1039,77,0,0.0400,25,0,0.0229,0.1333,0.1667,1.0000,0.0038,0.0340,0.0124,0.0913,0.0000,0.0514,0.2782,0.6409,0.1667,1.0000
baseline_direct_qwen_35b,0.3000,247,251,394,143,0.3629,0.4372,0.3227,0.2105,0.2271,0.3320,0.1781,0.6787,0.4730,0.4821,0.0158,0.4603,63,0,0.6667,3,1,0.5000,24,0,0.4000,10,0,0.4444,45,0,0.4416,77,0,0.2800,25,0,0.3425,0.5265,0.2490,0.3954,0.1545,0.2706,0.2553,0.4045,0.1167,0.2392,0.4082,0.5349,0.3836,0.5660
baseline_direct_qwen_4b,0.3000,247,98,293,195,0.6655,0.1741,0.2347,0.1053,0.2041,0.1215,0.0729,0.6409,0.4435,0.4898,0.0069,0.2540,63,0,0.3333,3,1,0.1667,24,0,0.0000,10,0,0.0889,45,0,0.2338,77,0,0.0000,25,0,0.1083,0.2489,0.1417,0.3298,0.0586,0.1614,0.0706,0.1754,0.0349,0.1164,0.3484,0.5241,0.3534,0.6174
baseline_direct_qwen_9b,0.3000,247,187,334,147,0.4401,0.3239,0.2941,0.1579,0.2032,0.2348,0.1174,0.6754,0.4528,0.5508,0.0057,0.3492,63,0,0.6667,3,1,0.4583,24,0,0.3000,10,0,0.3111,45,0,0.3377,77,0,0.0800,25,0,0.2442,0.4059,0.2121,0.3750,0.1103,0.2127,0.1700,0.3038,0.0690,0.1762,0.3912,0.5172,0.4500,0.6407
ablation_path1_only_no_path2,0.3000,247,413,418,5,0.0120,0.7530,0.4722,0.4737,0.2978,0.6235,0.4980,0.7843,0.6412,0.6416,0.0690,0.7937,63,0,0.6667,3,1,0.8333,24,0,0.6000,10,0,0.9111,45,0,0.6623,77,0,0.6400,25,0,0.6853,0.8185,0.4014,0.5452,0.4113,0.5397,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126
ablation_path2_only_no_grounding,0.3000,247,0,368,368,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63,0,0.0000,3,1,0.0000,24,0,0.0000,10,0,0.0000,45,0,0.0000,77,0,0.0000,25,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
