system,category,support_gt_boxes,low_support,gt_coverage_iog03
baseline_direct_gemma3_4b,StruckBy_Hazard,3,1,0.3333
baseline_direct_gemma3_4b,Electrocution_Hazard,24,0,0.5417
baseline_direct_gemma3_4b,CaughtInBetween_hazard,10,0,0.4000
baseline_direct_gemma3_4b,PPE_Violation,45,0,0.3778
baseline_direct_gemma3_4b,Housekeeping_Storage,77,0,0.2208
baseline_direct_gemma3_4b,Other,25,0,0.4000
baseline_direct_internvl3_5_8b,Fall_Hazard,63,0,0.0159
baseline_direct_internvl3_5_8b,StruckBy_Hazard,3,1,0.0000
baseline_direct_internvl3_5_8b,Electrocution_Hazard,24,0,0.0000
baseline_direct_internvl3_5_8b,CaughtInBetween_hazard,10,0,0.0000
baseline_direct_internvl3_5_8b,PPE_Violation,45,0,0.0000
baseline_direct_internvl3_5_8b,Housekeeping_Storage,77,0,0.0000
baseline_direct_internvl3_5_8b,Other,25,0,0.0400
baseline_direct_llama32_vision_11b,Fall_Hazard,63,0,0.0159
baseline_direct_llama32_vision_11b,StruckBy_Hazard,3,1,0.3333
baseline_direct_llama32_vision_11b,Electrocution_Hazard,24,0,0.1667
baseline_direct_llama32_vision_11b,CaughtInBetween_hazard,10,0,0.1000
baseline_direct_llama32_vision_11b,PPE_Violation,45,0,0.0444
baseline_direct_llama32_vision_11b,Housekeeping_Storage,77,0,0.1039
baseline_direct_llama32_vision_11b,Other,25,0,0.0400
baseline_direct_qwen_35b,Fall_Hazard,63,0,0.4603
baseline_direct_qwen_35b,StruckBy_Hazard,3,1,0.6667
baseline_direct_qwen_35b,Electrocution_Hazard,24,0,0.5000
baseline_direct_qwen_35b,CaughtInBetween_hazard,10,0,0.4000
baseline_direct_qwen_35b,PPE_Violation,45,0,0.4444
baseline_direct_qwen_35b,Housekeeping_Storage,77,0,0.4416
baseline_direct_qwen_35b,Other,25,0,0.2800
baseline_direct_qwen_4b,Fall_Hazard,63,0,0.2540
baseline_direct_qwen_4b,StruckBy_Hazard,3,1,0.3333
baseline_direct_qwen_4b,Electrocution_Hazard,24,0,0.1667
baseline_direct_qwen_4b,CaughtInBetween_hazard,10,0,0.0000
baseline_direct_qwen_4b,PPE_Violation,45,0,0.0889
baseline_direct_qwen_4b,Housekeeping_Storage,77,0,0.2338
baseline_direct_qwen_4b,Other,25,0,0.0000
baseline_direct_qwen_9b,Fall_Hazard,63,0,0.3492
baseline_direct_qwen_9b,StruckBy_Hazard,3,1,0.6667
baseline_direct_qwen_9b,Electrocution_Hazard,24,0,0.4583
baseline_direct_qwen_9b,CaughtInBetween_hazard,10,0,0.3000
baseline_direct_qwen_9b,PPE_Violation,45,0,0.3111
baseline_direct_qwen_9b,Housekeeping_Storage,77,0,0.3377
baseline_direct_qwen_9b,Other,25,0,0.0800
ablation_path1_only_no_path2,Fall_Hazard,63,0,0.7937
ablation_path1_only_no_path2,StruckBy_Hazard,3,1,0.6667
ablation_path1_only_no_path2,Electrocution_Hazard,24,0,0.8333
ablation_path1_only_no_path2,CaughtInBetween_hazard,10,0,0.6000
ablation_path1_only_no_path2,PPE_Violation,45,0,0.9111
ablation_path1_only_no_path2,Housekeeping_Storage,77,0,0.6623
ablation_path1_only_no_path2,Other,25,0,0.6400
ablation_path2_only_no_grounding,Fall_Hazard,63,0,0.0000
ablation_path2_only_no_grounding,StruckBy_Hazard,3,1,0.0000
ablation_path2_only_no_grounding,Electrocution_Hazard,24,0,0.0000
ablation_path2_only_no_grounding,CaughtInBetween_hazard,10,0,0.0000
ablation_path2_only_no_grounding,PPE_Violation,45,0,0.0000
ablation_path2_only_no_grounding,Housekeeping_Storage,77,0,0.0000
