system,TP,FP,FN,precision,precision_ci95_low,precision_ci95_high,recall,recall_ci95_low,recall_ci95_high,f1,f1_ci95_low,f1_ci95_high,macro_precision,macro_recall,macro_f1,exact_image_category_match_rate,image_universe,n_bootstrap,ground_iog_threshold,total_gt_boxes,total_pred_boxes,total_hazard_rows,no_box_hazard_rows,no_box_rate,gt_coverage_iog03,prediction_coverage_iog03,category_aware_grounding_success_iog03,category_aware_prediction_coverage_iog03,iou_at_0_3,iou_at_0_5,tightness_mean_iop,mean_iou_covering,gt_to_prediction_containment_iop03,map_like_iou50_category_aware,prediction_coverage_iog03_ci95_low,prediction_coverage_iog03_ci95_high,category_aware_grounding_success_iog03_ci95_low,category_aware_grounding_success_iog03_ci95_high,iou_at_0_3_ci95_low,iou_at_0_3_ci95_high,iou_at_0_5_ci95_low,iou_at_0_5_ci95_high,mean_iou_covering_ci95_low,mean_iou_covering_ci95_high,gt_to_prediction_containment_iop03_ci95_low,gt_to_prediction_containment_iop03_ci95_high,family,exactness,description,source_path
baseline_direct_qwen35_9b,130,209,80,0.3835,0.3301,0.4359,0.6190,0.5649,0.6766,0.4736,0.4219,0.5229,0.2991,0.4307,0.3470,0.2365,203,1000,0.3000,247,286,471,185,0.3928,0.3887,0.2587,0.1741,0.1503,0.2955,0.1417,0.6963,0.4725,0.4895,0.0061,0.1875,0.3286,0.1190,0.2308,0.2143,0.3739,0.0884,0.2000,0.4171,0.5313,0.4018,0.5756,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_9b/exp_e2e_qwen35_9b_run1.jsonl
baseline_direct_qwen36_35b,122,261,88,0.3185,0.2622,0.3666,0.5810,0.5286,0.6310,0.4115,0.3566,0.4571,0.2641,0.4645,0.3175,0.1034,203,1000,0.3000,247,341,549,208,0.3789,0.3968,0.2170,0.2024,0.1525,0.3198,0.1700,0.6789,0.4676,0.4194,0.0115,0.1642,0.2722,0.1464,0.2583,0.2410,0.4008,0.1111,0.2328,0.4154,0.5266,0.3343,0.5000,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen36_35b/exp_e2e_qwen36_35b_run1.jsonl
baseline_direct_gemma3_12b,60,133,150,0.3109,0.2356,0.3889,0.2857,0.2244,0.3417,0.2978,0.2359,0.3559,0.3525,0.1853,0.1629,0.2512,203,1000,0.3000,247,268,272,4,0.0147,0.2105,0.1418,0.0891,0.0858,0.1336,0.0486,0.4974,0.3901,0.4515,0.0018,0.0862,0.1992,0.0502,0.1306,0.0811,0.1948,0.0192,0.0818,0.2923,0.5000,0.3609,0.5402,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_gemma3_12b/results/exp_e2e_gemma3_12b_run1.jsonl
baseline_direct_gemma3_4b,56,103,154,0.3522,0.2745,0.4333,0.2667,0.2193,0.3134,0.3035,0.2494,0.3557,0.0952,0.1471,0.1142,0.1823,203,1000,0.3000,247,149,159,10,0.0629,0.3522,0.3758,0.1053,0.1611,0.2227,0.0364,0.5565,0.3367,0.4966,0.0000,0.2958,0.4527,0.0685,0.1491,0.1660,0.2773,0.0133,0.0599,0.2976,0.3751,0.4106,0.5745,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_gemma3_4b/results/exp_e2e_gemma3_4b_run1.jsonl
baseline_direct_internvl3_5_8b,138,331,72,0.2942,0.2412,0.3376,0.6571,0.6020,0.7122,0.4065,0.3492,0.4548,0.2073,0.4729,0.2789,0.1034,203,1000,0.3000,247,333,532,199,0.3741,0.0081,0.0030,0.0040,0.0030,0.0081,0.0081,1.0000,0.6729,0.3814,0.0028,0.0000,0.0100,0.0000,0.0135,0.0000,0.0270,0.0000,0.0270,0.0000,0.6729,0.2987,0.4578,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_internvl3_5_8b/results/exp_e2e_internvl3_5_8b_run1.jsonl
baseline_direct_llama32_vision_11b,7,3,203,0.7000,0.3750,1.0000,0.0333,0.0107,0.0583,0.0636,0.0209,0.1088,0.1973,0.0344,0.0550,0.4778,203,1000,0.3000,247,11,14,3,0.2143,0.0729,0.5455,0.0162,0.3636,0.0486,0.0202,0.4721,0.4718,0.5455,0.0035,0.1667,1.0000,0.0038,0.0340,0.0124,0.0913,0.0000,0.0514,0.2782,0.6409,0.1667,1.0000,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_llama32_vision_11b/results/exp_e2e_llama32_vision_11b_run1.jsonl
baseline_direct_qwen_35b,122,181,88,0.4026,0.3355,0.4636,0.5810,0.5253,0.6381,0.4756,0.4195,0.5279,0.2792,0.3965,0.3140,0.2020,203,1000,0.3000,247,251,394,143,0.3629,0.4372,0.3227,0.2105,0.2271,0.3320,0.1781,0.6787,0.4730,0.4821,0.0158,0.2490,0.3954,0.1545,0.2706,0.2553,0.4045,0.1167,0.2392,0.4082,0.5349,0.3836,0.5660,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_qwen_35b/results/exp_e2e_qwen_35b_run1.jsonl
baseline_direct_qwen_4b,97,153,113,0.3880,0.3187,0.4504,0.4619,0.4112,0.5112,0.4217,0.3645,0.4714,0.2850,0.3459,0.2811,0.1330,203,1000,0.3000,247,98,293,195,0.6655,0.1741,0.2347,0.1053,0.2041,0.1215,0.0729,0.6409,0.4435,0.4898,0.0069,0.1417,0.3298,0.0586,0.1614,0.0706,0.1754,0.0349,0.1164,0.3484,0.5241,0.3534,0.6174,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_qwen_4b/results/exp_e2e_qwen_4b_run1.jsonl
baseline_direct_qwen_9b,107,164,103,0.3948,0.3307,0.4549,0.5095,0.4556,0.5622,0.4449,0.3904,0.4926,0.2842,0.3937,0.3199,0.2414,203,1000,0.3000,247,187,334,147,0.4401,0.3239,0.2941,0.1579,0.2032,0.2348,0.1174,0.6754,0.4528,0.5508,0.0057,0.2121,0.3750,0.1103,0.2127,0.1700,0.3038,0.0690,0.1762,0.3912,0.5172,0.4500,0.6407,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_qwen_9b/results/exp_e2e_qwen_9b_run1.jsonl
ablation_path1_only_no_path2,141,208,69,0.4040,0.3420,0.4595,0.6714,0.6124,0.7297,0.5045,0.4457,0.5574,0.3535,0.5516,0.4158,0.3251,203,1000,0.3000,247,413,418,5,0.0120,0.7530,0.4722,0.4737,0.2978,0.6235,0.4980,0.7843,0.6412,0.6416,0.0690,0.4014,0.5452,0.4113,0.5397,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126,ablation,exact_from_trace_pre_reasoning,Path 1 only: caption plus hazard reasoning plus grounding; no Path 2 verification.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
