reference_system,comparator_system,metric,paired_diff_reference_minus_comparator,diff_ci95_low,diff_ci95_high,paired_bootstrap_p_two_sided,n_bootstrap,comparison_role,mcnemar_b_reference_only_correct,mcnemar_c_comparator_only_correct,mcnemar_chi2_continuity,mcnemar_p_approx,n_image_category_units
GROVE_full_paper_archived,baseline_direct_qwen35_27b,precision,0.2135,0.1316,0.2925,0.0000,1000,GROVE_vs_best_single_pass_baseline,,,,,
GROVE_full_paper_archived,baseline_direct_qwen35_27b,recall,0.1914,0.1143,0.2723,0.0000,1000,GROVE_vs_best_single_pass_baseline,,,,,
GROVE_full_paper_archived,baseline_direct_qwen35_27b,f1,0.2047,0.1353,0.2728,0.0000,1000,GROVE_vs_best_single_pass_baseline,,,,,
GROVE_full_paper_archived,baseline_direct_qwen35_27b,gt_coverage_iog03,0.2771,0.1767,0.3820,0.0000,1000,GROVE_vs_best_single_pass_baseline,,,,,
GROVE_full_paper_archived,baseline_direct_qwen35_27b,iou_at_0_3,0.2897,0.1960,0.3765,0.0000,1000,GROVE_vs_best_single_pass_baseline,,,,,
GROVE_full_paper_archived,baseline_direct_qwen35_27b,iou_at_0_5,0.2838,0.2016,0.3658,0.0000,1000,GROVE_vs_best_single_pass_baseline,,,,,
GROVE_full_paper_archived,baseline_direct_qwen35_27b,mean_iou_covering,0.1283,0.0531,0.2011,0.0020,1000,GROVE_vs_best_single_pass_baseline,,,,,
GROVE_full_paper_archived,baseline_direct_qwen35_27b,category_aware_grounding_success_iog03,0.2551,0.1675,0.3398,0.0000,1000,GROVE_vs_best_single_pass_baseline,,,,,
GROVE_full_paper_archived,baseline_direct_qwen35_27b,image_category_correctness_mcnemar,97,,,,,GROVE_vs_best_single_pass_baseline,161,64,40.9600,0.0000,1421
