system,category,support_gt_images,support_pred_images,low_support,TP,FP,FN,precision,recall,f1
ablation_qwen_image_only_no_grounding,CaughtInBetween_hazard,10,7,0,0,7,10,0.0000,0.0000,0.0000
ablation_qwen_image_only_no_grounding,PPE_Violation,40,89,0,25,64,15,0.2809,0.6250,0.3876
ablation_qwen_image_only_no_grounding,Housekeeping_Storage,48,64,0,31,33,17,0.4844,0.6458,0.5536
ablation_qwen_image_only_no_grounding,Other,24,18,0,4,14,20,0.2222,0.1667,0.1905
ablation_caption_only_keyword_proxy,Fall_Hazard,61,193,0,61,132,0,0.3161,1.0000,0.4803
ablation_caption_only_keyword_proxy,StruckBy_Hazard,3,124,1,2,122,1,0.0161,0.6667,0.0315
ablation_caption_only_keyword_proxy,Electrocution_Hazard,24,166,0,22,144,2,0.1325,0.9167,0.2316
ablation_caption_only_keyword_proxy,CaughtInBetween_hazard,10,187,0,9,178,1,0.0481,0.9000,0.0914
ablation_caption_only_keyword_proxy,PPE_Violation,40,203,0,40,163,0,0.1970,1.0000,0.3292
ablation_caption_only_keyword_proxy,Housekeeping_Storage,48,202,0,48,154,0,0.2376,1.0000,0.3840
ablation_caption_only_keyword_proxy,Other,24,177,0,23,154,1,0.1299,0.9583,0.2289
ablation_image_only_reasoning,Fall_Hazard,61,95,0,53,42,8,0.5579,0.8689,0.6795
ablation_image_only_reasoning,StruckBy_Hazard,3,35,1,0,35,3,0.0000,0.0000,0.0000
ablation_image_only_reasoning,Electrocution_Hazard,24,31,0,17,14,7,0.5484,0.7083,0.6182
ablation_image_only_reasoning,CaughtInBetween_hazard,10,7,0,0,7,10,0.0000,0.0000,0.0000
ablation_image_only_reasoning,PPE_Violation,40,89,0,25,64,15,0.2809,0.6250,0.3876
ablation_image_only_reasoning,Housekeeping_Storage,48,64,0,31,33,17,0.4844,0.6458,0.5536
ablation_image_only_reasoning,Other,24,18,0,4,14,20,0.2222,0.1667,0.1905
ablation_no_fallback_grounding_drop,Fall_Hazard,61,73,0,49,24,12,0.6712,0.8033,0.7313
ablation_no_fallback_grounding_drop,StruckBy_Hazard,3,37,1,1,36,2,0.0270,0.3333,0.0500
ablation_no_fallback_grounding_drop,Electrocution_Hazard,24,35,0,17,18,7,0.4857,0.7083,0.5763
ablation_no_fallback_grounding_drop,CaughtInBetween_hazard,10,6,0,2,4,8,0.3333,0.2000,0.2500
ablation_no_fallback_grounding_drop,PPE_Violation,40,60,0,29,31,11,0.4833,0.7250,0.5800
ablation_no_fallback_grounding_drop,Housekeeping_Storage,48,60,0,29,31,19,0.4833,0.6042,0.5370
ablation_no_fallback_grounding_drop,Other,24,35,0,5,30,19,0.1429,0.2083,0.1695
ablation_no_fallback_grounding_boxes_removed,Fall_Hazard,61,77,0,51,26,10,0.6623,0.8361,0.7391
ablation_no_fallback_grounding_boxes_removed,StruckBy_Hazard,3,43,1,1,42,2,0.0233,0.3333,0.0435
ablation_no_fallback_grounding_boxes_removed,Electrocution_Hazard,24,39,0,19,20,5,0.4872,0.7917,0.6032
ablation_no_fallback_grounding_boxes_removed,CaughtInBetween_hazard,10,8,0,2,6,8,0.2500,0.2000,0.2222
ablation_no_fallback_grounding_boxes_removed,PPE_Violation,40,66,0,29,37,11,0.4394,0.7250,0.5472
ablation_no_fallback_grounding_boxes_removed,Housekeeping_Storage,48,68,0,32,36,16,0.4706,0.6667,0.5517
